City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,sola,-13.8833,167.55,80.56,84,74,13.78,VU,1701299536
117,crane,31.3974,-102.3501,58.71,50,37,18.68,US,1701299536
118,santa cruz,-17.8,-63.1667,83.66,70,40,11.5,BO,1701299536
119,el bolson,-41.9667,-71.5167,48.29,98,100,5.41,AR,1701299536
120,contamana,-7.3333,-75.0167,84.0,61,77,3.74,PE,1701299537
121,isafjordur,66.0755,-23.124,37.15,82,100,6.69,IS,1701299537
122,port lincoln,-34.7333,135.8667,61.02,81,99,14.32,AU,1701299504
123,luderitz,-26.6481,15.1594,64.99,60,0,13.18,NA,1701299538
124,westport,41.1415,-73.3579,35.2,52,0,8.05,US,1701299243
125,pisco,-13.7,-76.2167,69.03,78,44,4.94,PE,1701299539
126,okha,53.5739,142.9478,8.28,86,87,17.34,RU,1701299524
127,hawaiian paradise park,19.5933,-154.9731,81.03,94,100,10.36,US,1701299539
128,toliara,-23.35,43.6667,77.7,87,35,2.06,MG,1701299540
129,pocora,10.1718,-83.6044,75.0,96,91,1.43,CR,1701299540
130,nemuro,43.3236,145.575,29.34,60,83,15.64,JP,1701299540
131,bandar,2.05,99.75,73.92,100,100,1.25,ID,1701299540
132,cudillero,43.5622,-6.1459,58.66,94,75,20.71,ES,1701299541
133,martinez de la torre,20.0667,-97.05,68.18,95,100,0.78,MX,1701299541
134,jamestown,42.097,-79.2353,29.79,61,100,10.36,US,1701299250
135,palmer,42.1584,-72.3287,31.42,58,40,6.91,US,1701299542
136,sankt veit an der glan,46.7681,14.3603,32.79,86,40,3.44,AT,1701299542
137,lawas,13.764,121.0566,76.98,90,46,9.78,PH,1701299542
138,myitkyina,25.3833,97.4,60.82,74,100,1.99,MM,1701299543
139,yuanping,38.7153,112.7575,15.22,44,0,4.29,CN,1701299543
140,burang,30.25,81.1667,13.95,88,49,3.71,CN,1701299543
141,dunlap,41.6378,-85.9217,39.25,69,0,11.5,US,1701299482
142,pyshma,56.9523,63.2513,25.74,93,100,6.42,RU,1701299544
143,beira,-19.8436,34.8389,71.69,100,100,12.66,MZ,1701299544
144,lashio,22.9333,97.75,57.47,90,100,1.03,MM,1701299544
145,nizhnyaya tavda,57.6731,66.1725,23.88,91,100,5.68,RU,1701299545
146,shingu,33.7333,135.9833,51.87,75,100,9.35,JP,1701299545
147,port elizabeth,-33.918,25.5701,62.89,83,20,9.22,ZA,1701299545
148,kuacjok,8.3002,27.9903,84.92,34,99,4.09,SS,1701299546
149,corner brook,48.9667,-57.9484,28.56,76,80,9.31,CA,1701299546
150,khark,29.2614,50.3306,69.53,56,33,19.86,IR,1701299546
151,khandyga,62.6667,135.6,-23.78,99,100,2.44,RU,1701299547
152,benjamin constant,-4.3831,-70.0311,80.65,83,75,4.61,BR,1701299547
153,thanh pho uong bi,21.0333,106.7833,71.58,86,100,2.24,VN,1701299430
154,ingeniero guillermo n. juarez,-23.9,-61.85,96.17,33,2,6.38,AR,1701299548
155,rabo de peixe,37.8,-25.5833,62.11,99,75,23.02,PT,1701299548
156,valdivia,-39.8142,-73.2459,57.31,71,57,3.33,CL,1701299531
157,qaqortoq,60.7167,-46.0333,32.09,66,100,14.25,GL,1701299548
158,okhotsk,59.3833,143.3,4.96,87,98,8.66,RU,1701299549
159,yanbu,24.0891,38.0637,73.44,73,0,3.44,SA,1701299549
160,mount isa,-20.7333,139.5,85.77,30,70,6.91,AU,1701299549
161,san pedro,14.35,121.0167,82.31,82,76,7.0,PH,1701299550
162,san patricio,28.017,-97.5169,69.75,83,100,11.59,US,1701299550
163,sumbe,-11.2061,13.8437,76.98,89,97,5.75,AO,1701299346
164,tete,-16.1564,33.5867,84.85,47,71,3.04,MZ,1701299551
165,salinopolis,-0.6136,-47.3561,79.45,83,10,11.34,BR,1701299291
166,papatowai,-46.5619,169.4708,52.27,66,100,11.34,NZ,1701299551
167,frederico westphalen,-27.3592,-53.3944,72.25,93,7,2.28,BR,1701299551
168,bredasdorp,-34.5322,20.0403,62.78,76,76,15.93,ZA,1701299552
169,ust-nera,64.5667,143.2,-16.31,97,78,6.42,RU,1701299552
170,hasaki,35.7333,140.8333,46.29,52,93,21.32,JP,1701299552
171,howrah,22.5892,88.3103,68.0,94,20,4.61,IN,1701299553
